datasetid;last-checked-date;contact;predecessor;country;iso-region;source-copyrights;data-classification;restricted-comment;related-datasets;discontinued-data;unit-of-measure;publisher-periodicity;title;description;theme;keyword;license;language;timezone;modified;modified_updates_on_metadata_change;modified_updates_on_data_change;data_processed;metadata_processed;publisher;references;records_count;attributions;source_domain;source_domain_title;source_domain_address;source_dataset;oauth_scope;parent_domain;dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat_ap_ch.domain;dcat_ap_ch.rights;inspire.theme;inspire.type;inspire.file_identifier;inspire.hierarchy_level;inspire.hierarchy_level_name;inspire.spatial_resolution;inspire.topologic_consistency;inspire.contact_individual_name;inspire.contact_position;inspire.contact_address;inspire.contact_email;inspire.identification_purpose;inspire.extend_description;inspire.extend_bounding_box_westbound_longitude;inspire.extend_bounding_box_eastbound_longitude;inspire.extend_bounding_box_southbound_latitude;inspire.extend_bounding_box_northbound_latitude;semantic.rml_mapping;semantic.classes;semantic.properties;explore.download_count
the-role-of-co2-capture-and-storage-in-saudi-arabias-energy-future;;;;Saudi Arabia;EMEA;http://www.kapsarc.org/terms-conditions/;Public;;;;;;The role of CO2 capture and storage in Saudi Arabia’s energy future;"<p><strong> Abstract</strong></p>
<p> This paper aims to investigate for the first time the role of carbon dioxide (CO2) capture and storage (CCS) in shaping the future energy policy for Saudi Arabia. It begins with a broad analysis ofthe strategic context for CCS. Itthen reviews CCS developmentin Saudi Arabia, including CCS research activities, sources of CO2 emissions, and the potential for CO2 storage. Finally, it explores the stakeholder attitudes toward the role of CCS in Saudi Arabia, through a survey targeting oil and gas professionals mainly working in the Middle East and North Africa (MENA) region. There is a widespread agreement by the stakeholders surveyed that CCS is one of the priorities for managing carbon emissions, and it holds the potential as a “gamechanger” in Saudi Arabia. Stakeholders believe that “high capital costs” and “technical uncertainty” are primary barriers to CCS demonstration, and they generally do not regard the risks of CCS as particularly significant. Most of the stakeholders agree that the first large scale CCS demonstration project should be supported by Saudi Government subsidy, and that this is the most appropriate incentive for CCS demonstration in Saudi Arabia. There is substantial support for providing the same level of incentive for CCS as for renewables. There is also a common agreement that power generation, oil refining, and gas processing are the most suitable sectors in Saudi Arabia for capturing CO2. Most of the stakeholders favor post-combustion capture technology, and are consistently more enthusiastic about combining CCS with enhanced oil recovery (EOR). </p>";KAPSARC Publications;International Journal, Stakeholder attitudes, EOR, CCS;Open Database License (ODbL);en;;2013-02-13T13:22:48+00:00;;;;2018-11-21T07:02:54+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2017/02/The-role-of-CO2-capture-and-storage-in-Saudi-Arabias-energy-future_Liu-H_2012.pdf;0;Hengwei Liu, Berenice Garcia Tellez, Tarek Atallah, Murad Barghouty;;;;;;;2013-02-13;2013-02-13;King Abdullah Petroleum Studies And Research Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
measuring-the-energy-intensity-of-nations-towards-a-framework-for-transparent-co;;;;Saudi Arabia;EMEA;https://www.kapsarc.org/terms-conditions/;Public;;;;;;Measuring the energy intensity of nations: Towards a framework for transparent comparisons;"<p><strong>About the Workshop:</strong></p><p>In September 2013, KAPSARC hosted a workshop in
London to explore whether it was feasible and
reasonable to gain a better understanding of national
energy intensity by measuring the embodied energy in
goods traded across national borders. If so, this
information could provide decision-makers with a
more transparent picture of a nation’s energy intensity
and greenhouse gas emissions. </p><p>In order to make meaningful comparisons of indicators
between countries, the need to take into account
specific national economic circumstances was
highlighted. Important factors include: the path of
historical economic development, industrial
specialization, natural resource endowments,
demographic change, cultural norms, energy prices,
urbanisation, geography, and climate. As a significant
part of the profile of a country’s energy intensity is
embodied in its imports and exports of goods, the effect of moving towards metrics that normalise for
the embodied energy and carbon in trade was also
discussed.</p>";KAPSARC Publications;Workshop, GDP, gross domestic product, oecd, Energy;Open Database License (ODbL);en;;2013-12-06T12:00:24+00:00;;;;2018-11-21T07:02:42+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2015/10/KS1301WB01C_energy_productivity_workshop_policy_brief.pdf;0;Tarek Atallah, Patrick Bean, Berenice Garcia-Tellez, Anwar Gasim, Nicholas Howarth;;;;;;;2013-12-06;2013-12-06;King Abdullah Petroleum Studies And Research Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
energy-systems-modeling-to-support-policy-making;;;;World;WORLD;https://www.kapsarc.org/terms-conditions/;Public;;;;;;Energy systems modeling to support policy making;<p><strong>Summary for policymakers</strong></p><p>In October 2013, KAPSARC convened a workshop in Washington, DC attended by some 30 international energy economic modeling and policy experts. Discussions addressed the need to match evolving policy imperatives with new and improved modeling approaches.</p><p>The main needs of energy system models over the past three decades trace a journey from an era in which concerns about security and sufficiency of supply were the dominant themes (1970s and 1980s), through a swing towards liberalizing markets, particularly North American natural gas and electric power (1980s and 1990s), to a growing concern about climate change and greenhouse gas emissions (2000s). In addition, there are now numerous countries with quickly developing economies under central economic controls. Perhaps the future will require models that optimize the energy economies of such countries, developing under a centralized state capitalism model and administered prices.</p><p>As policy imperatives evolved over time, so did the various models and their types, changing their techniques and evolving their data sources. As a result, there is now a plethora of different models that cater to the evolving needs of policy makers, including optimization, equilibrium, and macroeconometric models.</p><p>Successful models to support policy interventions distinguish between: </p><p>- the policy objectives or needs for the degree of intervention necessary, </p><p>-the measures and targets used to influence the decision making environment in the sector or economy, and </p><p>- the actions which address the policy objectives and meet the targets. </p><p>As valuable as these models are in describing various scenarios, policy makers can, nonetheless, benefit from remembering that model outputs are not forecasts so much as descriptions of what would happen if the representation of reality they describe were to play out. Models are always simplifications of reality and there will always be exogenous factors that lead to a difference between “forecasts” and the actual outturn</p>;KAPSARC Publications;policymakers,  KAPSARC Energy Model, KEM, National Energy Modeling System, NEMS,  Market Allocation Model , MARKAL, The Integrated MARKAL EFOM Systems , TIMES, Energy Information Administration , EIA;Open Database License (ODbL);en;;2014-02-06T13:22:28+00:00;;;;2018-11-21T07:02:41+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2015/10/KS-1401-WB01B-Energy-Modeling-Workshop-Policy-Brief.pdf;0;KAPSARC;;;;;;;2014-02-06;2014-02-06;King Abdullah Petroleum Studies And Research Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a-framework-for-fuel-and-technology-transitions-in-energy-evaluating-policy-effe;;;;Saudi Arabia;EMEA;https://www.kapsarc.org/terms-conditions/;Public;;;;;;A Framework for Fuel and Technology Transitions in Energy: Evaluating Policy Effectiveness;<p><strong>About the Workshop:</strong></p><p>The objective of the workshop was to discuss a framework to add to current approaches for evaluating the effectiveness of policy instruments in delivering rapid transitions that meet their intended objectives.</p><p>Evaluating the effectiveness of transition policy and incentives requires an understanding of the key dynamics that determine the pace and path of transitions. This workshop, and subsequent sessions will seek to provide policymakers with a framework for assessing the implications of policy instruments on achieving the intended objectives of their energy transition plans.</p><p><strong>Key Points:</strong></p><ul><li>Energy technology and fuel transitions are impacted by a large number of actors and forces. This results in resistance to policy intervention and other potential unintended consequences.</li><li>Existing literature on energy transitions includes several empirical analyses of historical transitions, theories of innovation and technological transition, and some recent modeling efforts.</li><li>The growing demand for the new technology tightens its supply/demand balance, thereby placing upward pressure on its LCOE.</li><li>Energy transitions can be conceptualized by representing the cost competitiveness between the incumbent and the new technologies. This conceptualization underscores the significance of technology supply chain evolution on the pace and path of transitions.</li><li>Prioritizing transition policy objectives to address tradeoffs</li><li>The perfect storm of enablers defines or redefines transitions</li></ul>;KAPSARC Publications;Workshop, energy, Energy transitions, levelized cost of energy, Energy trade, transition policy;Open Database License (ODbL);en;;2014-03-06T11:31:23+00:00;;;;2018-11-21T07:02:42+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2014/03/KS-1404-WB02A_A-Framework-for-Fuel-and-Technology-Transitions-in-Energy-Evaluating-Policy-Effectiveness.pdf;0;Marcello Contestabile, Amro Elshurafa, Hind Farag, Nora Nezamuddin, Tamim Zamrik;;;;;;;2014-03-06;2014-03-06;King Abdullah Petroleum Studies And Research Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the-case-for-energy-productivity-its-not-just-semantics;;;;World;WORLD;https://www.kapsarc.org/terms-conditions/;Public;;;;;;The case for energy productivity: It’s not just semantics;<p><strong>Summary</strong></p><p>Ratios that link energy consumption, or its related emissions, to the economic value generated accommodate the differing progress on economic development of nations better than absolute measures. Policymakers are increasingly using indicators such as energy efficiency, intensity, and productivity to address the interrelated issues of economic development, energy security, and environmental sustainability.</p><p>Although setting formal targets in terms of energy intensity has helped to build consensus on several issues, policymakers have an opportunity to enroll even greater public support through the use of energy productivity.</p><p>Energy productivity and energy intensity may be reciprocals that share the same components and policy-relevant attributes. But energy productivity has important advantages—the differences between the two measures go beyond semantics. Productivity has a more positive connotation, is more intuitive, is aligned with efficiency, and portrays grander ambition. From a behavioral economics perspective, these traits can help frame policies that yield more meaningful improvements.</p><p>The mathematical representation of energy intensity makes comparisons of relative change across time and countries more difficult because of something we call the energy intensity illusion—the metric appears to converge towards a mean. Energy productivity’s mathematical representation, on the other hand, avoids this illusion, providing additional insight and making it a more directly relevant measure of a country’s economy, energy, and environmental performance.</p>;KAPSARC Publications;GDP, gross domestic product;Open Database License (ODbL);en;;2014-03-06T13:22:27+00:00;;;;2018-11-21T07:02:41+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2015/10/KS1402DP01B_case_for_energy_productivity_discussion_paper.pdf;0;Patrick Bean;;;;;;;2014-03-06;2014-03-06;King Abdullah Petroleum Studies And Research Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lowering-saudi-arabias-fuel-consumption-and-energy-system-costs-without-increasi;;;;;EMEA;https://www.kapsarc.org/terms-conditions/;Public;;;;;;Lowering Saudi Arabia’s fuel consumption and energy system costs without increasing end consumer prices;<p><strong>Summary:</strong></p><div>Saudi Arabia aims to reduce the growth of its energy demand. This paper outlines an approach that could help the country to reduce substantively its current fuel consumption and could result in a net economic gain without increasing current end consumer prices and while maintaining positive utility sector net cash flows. Using a new multi-sector equilibrium model developed  by  KAPSARC  (the  KAPSARC  Energy Model or KEM), we estimate the magnitudes of the potential  economic  gains  that  different  policies  </div><div>would generate. </div> <div>Our long term static version of the model reveals that an annual economic gain exceeding 23 billion USD in  2011,  or  almost  5%  of  that  year’s  GDP,  could have  been  achieved  while  the  water  and  power sectors continue to live within their cash flows. Our </div><p>approach—which  introduces  investment  credits  for solar  and  nuclear  and  allows  more  natural  gas consumption in  the  power sector—achieves  almost all the benefit of raising inter-sector transfer prices for  fuels  to  world  market  equivalences,  but  only  </p><div>moderately   increases   current   transfer   prices. Importantly, this gain does not require an increase in consumer prices of electricity or water.</div> <div>The main conclusions of this work are the following:</div>  <ul><li>Our  modeling  shows  it  is  possible  to  solve  the apparent  contradiction  of  inducing  greater efficiencies and lower energy consumption, while preserving current consumer prices.</li></ul><ul><li>All  scenarios  lead  to  substantive  reductions  in fuel  consumption  and  attractive  net  economic gains  when  compared  to  the  baseline  scenario. The  Price-deregulation  scenario,  which  prices fuels at the marginal value, yields the highest net gain, but those gains are broadly matched by the gains achieved with the Investment-credit option.Furthermore,  the  latter  option  maintains  the profitability of the utilities.</li></ul><ul><li>The  net  economic  gain  is  impacted  by  the assumed value of oil saved, which also affects the optimal  equipment  mix,  but  that  gain  is  always positive  irrespective  of  the  chosen  value  of  oil saved.</li></ul><ul><li>In all scenarios, the economic gain for the nation as  a  whole,  as  well  as  for  the  government,  is substantial.  The  petrochemical    and  utilities sectors suffer reduced net revenues relative to the baseline  scenario,  but  those  losses  are  more moderate in the Investment-credit scenarios and would be ameliorated in practice by honoring the terms of existing contracts.</li></ul> <div>Our  approach  is  consistent  with  decentralized decision making, allowing price incentives to guide efficient  investment  decisions,  and  avoids  the supervisory  burden  that  top-down  planning  would impose. Furthermore, it maximizes the societal gain that  can  be  achieved  without  burdening  end consumers with higher prices.</div>;KAPSARC Publications;Discussion paper;Open Database License (ODbL);en;;2014-03-07T11:46:22+00:00;;;;2018-11-21T07:02:41+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2015/10/KS1403DP02C_optimizing_saudi_energy_system_discussion_paper.pdf;0;Walid Matar, Frederic Murphy, Axel Pierru, Bertrand Williams - Rioux;;;;;;;2014-03-07;2014-03-07;King Abdullah Petroleum Studies And Research Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
policy-support-for-energy-transitions-where-is-public-money-best-spent;;;;Saudi Arabia;EMEA;https://www.kapsarc.org/terms-conditions/;Public;;;;;;Policy Support for Energy Transitions: Where is Public Money Best Spent?;"<p><strong>About the Workshop: </strong></p><p>To address
knowledge gaps in understanding linkages among
industry sectors, decision makers and other actors
including:</p><ul><li>Direct and indirect policy impacts on
development of new technology supply chains
spanning both the manufacturing and service
sectors</li><li>The impacts of supply chain structure and scale
on the cost competitiveness of new and
incumbent technologies.</li></ul><p>Considerations for the effective allocation of public
funding in support of energy transitions require an
appreciation of the success and failure of policy
instruments in achieving balanced energy transitions.
Understanding the impact of structural changes in
supply chains of both new and incumbent
technologies on competitiveness of renewable
technologies and resultant uptake levels is an often
overlooked factor. KAPSARC’s framework and
model for evaluating transition policy and its
effectiveness in balancing its multiple objectives
begins to take these factors into account. </p>";KAPSARC Publications;Workshop, Feed-in-Tariffs, Local Content Requirements, production tax credit, solar PV;Open Database License (ODbL);en;;2014-09-06T12:31:22+00:00;;;;2018-11-21T07:02:40+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2015/10/KS-1406-WB04A-Post-Energy-Transition-Workshop-Brief.pdf;0;Jorge Blazquez, Marcello Contestabile, Amro Elshurafa, Nora Nezamuddin, Tamim Zamrik;;;;;;;2014-09-06;2014-09-06;King Abdullah Petroleum Studies And Research Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
government-intervention-in-the-micro-economy-modeling-the-interventions;;;;World;WORLD;https://www.kapsarc.org/terms-conditions/;Public;;;;;;Government intervention in the micro-economy: Modeling the interventions;<p><strong>About the workshop </strong></p><p>The workshop, held in March 2014 with some 40 participants to discuss energy systems modeling.</p><p><strong>Background to the workshop </strong></p><p>The workshop was held in Riyadh, Saudi Arabia at the King Abdullah Petroleum Studies and Research Center (KAPSARC) on March 18 - 19, 2014. The focus was on government intervention in the micro-economy, including regulation of energy markets, sustainable technologies, case studies quantifying the impact of energy policy implementation, and climate policy.</p><p><strong>Summary for policymakers</strong></p><p><strong><br/></strong></p><p>The challenges of energy policy are multiplying, particularly as climate change has become a feature of the discourse around the world. There is no single policy tool that addresses all elements of the energy trilemma – securing affordable, reliable, and environmentally sustainable energy. The resulting collage of often overlapping policies may yield unexpected, and potentially undesirable, results without a proper ex-ante analysis of their interactions.</p><p>Government intervention is ubiquitous in the energy landscape, including taxation, subsidization, and directly regulating market operations among others. These interventions are aimed at:</p><p>Achieving social or political objectives, such as alleviating financial burdens on low-income households or incentivizing growth in a particular economic sector by regulating input prices. </p><p>- Mitigating the effects of externalities, such as by adopting a carbon tax or cap-and-trade system. </p><p>- Reducing the real or perceived risks of market failure. </p><p>- Controlling the presence of market power and inducing competition.</p><p>In some countries, market intervention represents the status quo leading to consideration of policies focused on transition from a centrally planned economy to more competitive markets. But such market deregulation may impact end consumers and the social compact of a nation to the point of precipitating further interventions to restore a politically acceptable balance. </p><p>Policies can achieve their intended outcomes or result in unintended consequences. For example, Independent Systems Operators in the US power market upgraded their optimization technology for clearing day-ahead electricity markets, saving millions of dollars for consumers. By contrast, US biofuel policies ran into unanticipated market conditions – declining demand for gasoline – and had to be reframed to remain viable.</p><p>The application, in a holistic, integrated framework of a range of analytical techniques may lead to better coordination among policy instruments and a better understanding of their interactions in producing policy outcomes. An example of the alternative is the uncoordinated planning and implementation of policies in the EU, which targeted a combination of carbon trading, climate, renewables and power market integration. The resulting undesirable interactions led to a rise in carbon emissions, a fall in carbon prices, which depressed “low carbon” investment, and an increase in the costs of renewable subsidies that distorted incentives to invest in capacity. </p><p>Could policy misalignments be prevented by engaging in better modeling and analysis to understand how different policies might interact? In the increasingly multidimensional policy environment, individual stakeholders that focus on only one aspect of the problem may generate misleading conclusions.</p>;KAPSARC Publications;KEM, micro-economy, energy markets, KAPSARC Energy Model;Open Database License (ODbL);en;;2014-10-06T13:22:25+00:00;;;;2018-11-21T07:02:39+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2015/10/KS-1405-WB03A-Energy-Systems-Modeling-Workshop-Brief.pdf;0;Walid Matar, Frederick Murphy, Axel Pierru, Bertrand Williams-Rioux, David Wogan;;;;;;;2014-10-06;2014-10-06;King Abdullah Petroleum Studies And Research Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the-dynamics-of-chinas-energy-economy;;;;China;APAC;https://www.kapsarc.org/terms-conditions/;Public;;;;;;The Dynamics of China’s Energy Economy;"<p><strong>Summary<br/></strong></p><p>The growth of its economy means that the People's Republic of China ranks at the top of many energy related league tables. It produces and consumes roughly 50% of the world's annual coal demand, while also being the largest importer of coal (accounting for 16% of total coal imports). China is the world's largest oil importer, yet is still the world's fifth largest oil producer. Also, it has the world's most ambitious nuclear program, the world's largest renewable energy industry and one of the fastest growing demands for natural gas. China's appetite for energy is huge and is set to grow substantially over at least the next decade. </p><p>There appear to be two main challenges facing research into China's energy economy:</p><p> - Necessary specialism can narrow scope and undermine opportunities for cross disciplinary synergy; and </p><p>- While data are the foundation stones of any approach, understanding the limitations of Chinese data is one thing, overcoming these limitations another.</p><p> Three non-traditional approaches that may deliver greater insight comprise:</p><p> - Mixed Complementarity Problem (MCP) formulations. MCPs can provide a bottom-up modeling approach that complements alternative traditional, top-down Computable General Equilibrium (CGE) models, deepening understanding of what is happening in China's complex energy economy and how it could respond to future policies;</p><p> - Bargaining models, which can allow practitioners to set out competing policy priorities and draw conclusions on plausible policy outcomes that can help bound the research space; and </p><p>- Theories of institutions that allow more critical examination of the policy making environment in China, thus improving our understanding of plausible future responses. </p><p>However one looks at China’s energy and environmental policies, decisions made in Beijing will have ramifications for both its domestic energy economy and for global markets. Understanding the potential for such decisions, whether they appear rational to an external observer or not, is critical for policy makers globally in preparing their own energy economies for the consequences of China’s continued economic growth and burgeoning energy demand.</p>";KAPSARC Publications;Domestic Energy Economy,  Global Markets, Burgeoning Energy Demand;Open Database License (ODbL);en;;2014-10-06T13:22:25+00:00;;;;2018-11-21T07:02:38+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2015/10/KS-1407-WB05A-The-Dynamics-of-Chinas-Energy-Economy.pdf;0;;;;;;;;2014-10-06;2014-10-06;King Abdullah Petroleum Studies And Research Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
managing-chinas-energy-productivity-potential-what-lessons-for-policy-makers;;;;China;APAC;https://www.kapsarc.org/terms-conditions/;Public;;;;;;Managing China’s energy productivity potential what lessons for policy makers;<p><strong>Summary</strong></p><p>Maximizing the economic welfare extracted from the energy system is a key priority for all governments. This can be measured by a country’s energy productivity. Perhaps nowhere else in the world is this issue more salient than in China. China is the world’s largest energy consumer and has led global economic growth in the first part of the twenty-first century. Furthermore, in the interconnected world we live in, decisions in China have global impacts. In periods of some of its fastest growth (from 2002-2005) China experienced declining energy productivity. In 2006, China put in place ambitious energy intensity targets. Combined with policies at the sector and product level, these contributed to China reversing its falling energy productivity. Building on this success, China’s 12th Five Year Plan, extended and deepened these reforms. But within China’s system of provincial and industrial energy intensity targets there is a blind spot which could reduce the potential welfare gain from these plans. Assessing the embodied energy in interprovincial trade reveals these potential gains and provides the information required to encourage regional practices to align better with national objectives. The response from Chinese policymakers to the challenges of building new infrastructure while managing resource and environmental constraints provides a valuable lesson for governments in rapidly developing countries, such as Saudi Arabia. A summary of key lessons from the Chinese experience of managing energy productivity is presented in the conclusion.</p>;KAPSARC Publications;Five Year Plan, FYP, National Reform and Development Commission , NDRC;Open Database License (ODbL);en;;2014-10-06T13:22:26+00:00;;;;2018-11-21T07:02:39+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2015/10/KS-1409-DP03A-Managing-Chinas-energy-productivity-potential-what-lessons-for-policy-makers.pdf;0;Nicholas Howarth, Leo Lester, Jin Min, Xia Yan;;;;;;;2014-10-06;2014-10-06;King Abdullah Petroleum Studies And Research Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
